title,authors,related_journal,date
Broadening Participation in Knowledge Management in Enterprise 2.0,Back Andrea; Koch Michael,Information Technology : it,1 May 2011
2D-Codes - Technologie und Anwendungsbereiche,Knuchel Thomas; Kuntner Tobias; Pataki Eva Carolina; Back Andrea,Wirtschaftsinformatik,1 February 2011
University Apps,Back Andrea; Walter Thomas,Switchjournal,1 October 2010
Die Öffnung des Innovationsprozesses,Back Andrea,wirtschaftsmagazin,1 November 2009
Veni - VIDEO - Vici: Videobasiertes eLearning auf dem Siegeszug 2.0,Back Andrea,Jahrbuch eLearning & Wissensmanagement 2009/2010 eLearning Quo vadis?,1 August 2009
Disruptiv innovieren in E-Learning und Kommunikation,Back Andrea,Netzwoche,1 April 2009
A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies,Heidecke Florian; Back Andrea,International Journal of e-Collaboration,1 January 2009
Corporate E-Learning: Disruptive Innovation auf der Überholspur?,Back Andrea,IT-Business,1 March 2009
Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen,Back Andrea; Leithner Barbara,Zeitschrift für Betriebswirtschaft,1 March 2006
Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology,Wagner Christian; Back Andrea,Issues in Information Systems (IIS),1 October 2008
Personal Learning Journal - Course Design for Using Weblogs in Higher Education,Hain Stefanie; Back Andrea,Electronic Journal of e-Learning - EJEL,1 October 2008
Knowledge Management in Challenging Settings - A Case of Military Aircraft,Mayrhofer David; Heilmeier Peter; Nirankari Ravi; Back Andrea,J.UKM: Universal Journal of Knowledge Management,1 July 2005
Dissertationserhebung in der Wirtschaftsinformatik 2004,Heidecke Florian; Back Andrea; Brenner Walter,Wirtschaftsinformatik,1 June 2005
The CC Model as Organizational Design Striving to Combine Relevance and Rigor,Back Andrea; Vonkrogh Georg; Enkel Ellen,Systemic Practice and Action Research,1 February 2007
Blogs helfen beim Projekt-Management,Back Andrea; Haentschel-erhart Irene; Baumann Philipp; Ziekursch Tim,Computerwoche,1 May 2007
Wissensmanagement strategisch verankern,Ammann Schoch Regina; Back Andrea; Kunert Karsten; Tresch Markus,Wissensmanagement : das Magazin für Führungskräfte,1 April 2004
Im virtuellen Klassenraum interaktiv arbeiten,Back Andrea,bulletin,1 October 2003
E-Meetings in Europa: State-of-the-art und Zukunftstrends,Mayrhofer David; Back Andrea,Bulletin,1 June 2003
Computer Supported Cooperative Work (CSCW) - State-of-the-Art und zukünftige Herausforderungen,Back Andrea; Seufert Andreas,HMD - Praxis der Wirtschaftsinformatik,1 June 2000
Wissensinitiativen: Überall aber wo genau?,Ammann Schoch Regina; Back Andrea; Kunert Karsten; Tresch Markus,io new management,1 January 2003
Managerial aspects of corporate e-Learning: insights from a study of four cases,Back Andrea; Bursian Olaf,Studies in Communications Sciences Special Issue "New Media in Education",1 June 2003
Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?,Back Andrea,Forum,1 February 2001
Workplace Learning: mit E-Learning im Arbeitsprozess lernen,Back Andrea,SKO-Leader,1 January 2003
Informations- und Kommunikationsdienste für Wissensnetzwerke,Raimann Joerg; Back Andrea,wisu das wirtschaftsstudium,1 June 2002
E-HR - Strategic Upgrade,Back Andrea,Learntec New,1 June 2002
Software-Tools und Architekturmodell für das Wissensmanagement,Raimann Joerg; Back Andrea,ControllerNews: Die Zeitschrift für Controlling und Unternehmensführung,1 July 2000
Wissensmanagement - eine Bestandsaufnahme,Back Andrea; Seufert Andreas; von Krogh G.,SAP Info,1 April 2000
Michael Cusumano :Interview,Back Andrea,Wirtschaftsinformatik,1 February 2000
Wissensstrategien für die Zukunft,Back Andrea; Seufert Andreas,Controller News,1 January 2000
Towards knowledge networking,Seufert Andreas; von Krogh G.; Back Andrea,Journal of Knowledge Management,1 October 1999
Computeranalphabet trotz PC-Führerschein?,Back Andrea,IBM uptodate,30 September 1998
2005: Virtuelle Universitäten auf dem Vormarsch,Schuh G.; Back Andrea; Friedli T.; Seufert Sabine,Thexis-Sonderheft Management Szenarien 2005,1 January 1998
Editoral,Back Andrea,Informatik/Informatique,1 January 1998
Kanzleiinformationssystem: Groupware-basiertes Wissensmanagement in Wirtschaftsprüfungs- und Steuerberatungskanzleien,Back Andrea; Seufert Andreas,Datenverarbeitung-Steuer-Wirtschaft-Recht,1 January 1998
Measuring,Back Andrea; Seufert Andreas; von Krogh G.,Thexis-Sonderheft Management Szenarien 2005,1 January 1998
Szenario Bildungslandschaft 2005,Back Andrea,Informatik/Informatique,1 January 1998
Technology enabled Management Education - Die Lernumgebung MBE Genius im Bereich Executive Study an der Universität St. Gallen,Back Andrea; Kramhoeller S.; Seufert Sabine,iomanagement,1 January 1998
Universitäre Ausbildung anno 2005,Back Andrea,Thexis-Sonderheft Management Szenarien 2005,1 January 1998
Technology enabled Management Education - Die Lernum­gebung MBE Genius im Bereich Executive Study an der Universität St. Gallen,Back Andrea; Seufert Sabine; Kramhöller S.,IO Management,1998
Bildung für das Verständnis von Informations- und Kommunikationstechnik (IuK) - IuK für die Ausbildung,Back Andrea,Schweizerische Zeitschrift für kaufmännisches Bildungswesen,1 January 1997
Der Cyberspace des 21. Jahrhunderts - Unsere virtuelle neue Welt?,Back Andrea,Forum FN: Themen der Zeit,1 January 1997
Der Kollaborateur aus der Kiste: Groupware Interview,Back Andrea,Handleszeitung,1 January 1997
Kanzleiinformationssystem: Mehrdimensionales Kanzleicontrolling,Back Andrea; Seufert Andreas,Datenverarbeitung-Steuer-Wirtschaft-Recht,1 January 1997
Groupware-Applikationen an der Universität St. Gallen,Back Andrea; Grabher K.,Informatik/Informatique,1 January 1995
Groupwarebasierter Help-Desk für Informatikprobleme: eine Applikation unter Lotus Notes an der Universität St. Gallen,Back Andrea; Schubert P.,HMD: Praxis der Wirtschaftsinformatik,1 January 1996
Interview mit Mark C. Turrell: "Groupware should be widely deployed",Back Andrea,Informatik/Informatique,1 January 1995
Aspekte zur Implementierung und Nutzung einer Prozesskostenrechnung. Rubrik Meinungsspiegel,Back Andrea,Kostenrechnungspraxis-Sonderheft,1 January 1994
Internet und World Wide Web : Zugangs- und Anwendungsmöglichkeiten für den Steuerberater,Back Andrea; Wagner J.,DSWR,1 January 1996
Teamorientierung im Management - Management Support goes Groupware. 4 Workshop des GI-Arbeitskreises 5.5.2 Management Support Systems (MSS),Back Andrea; Seufert Andreas,Wirtschaftsinformatik,1 January 1996
Vom Firmenhauptsitz ins Telecottage,Back Andrea; Schuka Oliver,Output Focus,1 January 1996
Entwicklungen im Markt und in Anwendungsfeldern von Groupware,Back Andrea,Informatik/Informatique,1 January 1995
Groupware. Editoral,Back Andrea,Informatik/Informatique,1 January 1995
Kanzleiinformationssystem,Back Andrea; Seufert Andreas,Datenverarbeitung-Steuer-Wirtschaft-Recht,1 January 1995
Ein Modell zur Kalkulation der Kosten je Absolvent,Back Andrea,ZfB-Sonderheft,1 January 1994
Prozesskostenrechnung,Back Andrea,Bilanzbuchhalter,1 January 1994
Umsetzung objektorientierter Konstrukte im internen Rechnungswesen,Back Andrea,HMD: Praxis der Wirtschaftsinformatik,1 January 1994
Vorarbeiten für die Datenmodellierung am Beispiel zweier Industrieunternehmen : Automatisierte Dateninventur und elektronischer Begriffskatalog,Back Andrea,Wirtschaftsinformatik 36,1 January 1994
From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems,Marheine Christian; Pauli Tobias; Marx Emanuel; Back Andrea; Matzner Martin,null,January 2021
Steuerungstool des Board of Directors für Digitale Transformationsprojekte,Mörstedt Nils G.; Back Andrea,82. Jahrestagung des Verbands der Hochschullehrer für Betriebswirtschaft e.V. (VHB),19 March 2020
The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances,Grüttner Arne; Vitisvorakarn Min; Wambsganss Thiemo; Rietsche Roman; Back Andrea,Hawaii International Conference on System Sciences (HICSS),7 January 2020
Digital Transformation Compass – A Guide to Management Methods and Tools in Digital Transformation Initiatives (Proposal of Future Work),Back Andrea; Schacker Maximilian,Organizing in the Era of Digital Technology,13 June 2019
Coworking as a New Innovation Scenario from the Perspective of Mature Organisations,Josef Barbara; Back Andrea,null,13 April 2018
Impact of Gamification on User’s Knowledge-Sharing Practices:Relationships between Work Motivation Performance Expectancy and Work Engagement,Silic Mario; Back Andrea,50th Hawaii International Conference on Sciences (HICSS),7 January 2017
Deterrent Effects of Warnings on User’s Behavior in Preventing MaliciousSoftware Use,Silic Mario; Back Andrea,50th Hawaii International Conference on Sciences (HICSS),6 January 2017
Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches,Berghaus Sabine; Back Andrea,International Conference on Information Systems (ICIS) 2017,10 December 2017
Effects of Color Appeal Perceived Risk and Culture on User’s Decision in Presence of Warning Banner Message,Silic Mario; Cyr Dianne; Back Andrea; Holzer Adrian,50th Hawaii International Conference on Sciences (HICSS),7 January 2017
Exploring Innovation Practices for B2E Initiatives in the Digital Age,Guggisberg Vanessa; Back Andrea,Multikonferenz Wirtschaftsinformatik 2018,9 March 2018
Stages in Digital Business Transformation: Results of an Empirical Maturity Study,Berghaus Sabine; Back Andrea,10th Mediterranean Conference on Information Systems (MCIS 2016),4 September 2016
Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping,Ruf Christian; Back Andrea; Weidenfeld Henk Andreas,The 28th Bled eConference "#eWellbeing",3 June 2015
How Can We Design Products Services and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering,Ruf Christian; Back Andrea,10th International Conference DESRIST 2015,22 May 2015
Identification and Importance of the Technological Risks of Open Source Software in the Enterprise Adoption Context,Silic Mario; Back Andrea,12th International Conference on Wirtschaftsinformatik (WI 2015),5 March 2015
Is an App Better than an Email? Developing Trust in a Mobile Financial Advisory Service : Design and Evaluation of a Prototype,Ruf Christian; Back Andrea; Wittmann Matthias,12. Internationale Tagung Wirtschaftsinformatik (WI 2015) : Smart Enterprise  Engineering,5 March 2015
Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices,Berghaus Sabine; Back Andrea,48th Hawaiin International Conference on System Sciences (HICSS),6 January 2015
Atos - Towards Zero Email Company,Silic Mario; Back Andrea; Silic Dario,23rd European Conference on Information Systems (ECIS) 2015,28 May 2015
Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders,Berghaus Sabine; Back Andrea,The 27th Bled eConference "eEcosystems",1 June 2014
Design Requirements for Collaboration Processes to Increase Customer Trust in Mobile Banking Platforms,Ruf Christian; Back Andrea,The 27th Bled eConference "eEcosystems",1 June 2014
Elicitation of Requirements for the Design of Mobile Financial Advisory Services - Instantiation and Validation of the Requirement Data Model with a Multi-method Approach,Ruf Christian; Back Andrea; Bergmann Richard; Schlegel Michael,48th Hawaiin International Conference on System Sciences (HICSS),4 January 2015
Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM,Sammer Thomas; Vögeli Sandro; Back Andrea,12th International Conference on Mobile Business (ICMB),12 June 2013
Mobile Contactless Payments Adoption Challenge in the Complex Network Actor Ecosystem,Silic Mario; Back Andrea; Ruf Christian,The 27th Bled eConference "eEcosystems",1 June 2014
Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?,Fiechter Daniel; Sammer Thomas; Back Andrea,European Transport Conference 2013,2 October 2013
The New Enterprise Mobility: Seizing the Opportunities and Challenges in Corporate Mobile IT,Sammer Thomas; Brechbühl Hans; Back Andrea,19th Americas Conference on Information Systems (AMCIS 2013),17 August 2013
Information Security and Open Source Dual Use Security Software: Trust Paradox,Silic Mario; Back Andrea,9th IFIP WG 2.13 International Conference OSS 2013,26 June 2013
A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests,Walter Thomas; Back Andrea,46th Hawaii International Conference on System Sciences (HICSS),7 January 2013
Adoption of Online Videos in Organizations : A Multi-Case Comparison,Ruf Christian; Back Andrea,26th Bled eConference "eInnovations: challenges and impacts for individuals organizations and society",9 June 2013
Organizational Culture Impact on Acceptance and Use of Unified Communications & Collaboration Technology in Organizations,Silic Mario; Back Andrea,26th Bled eConference "eInnovations: challenges and impacts for individuals organizations and society",9 June 2013
Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel,Friedel Dominik; Back Andrea,14. KnowTech 2012,24 October 2012
Narrative Hypervideos: Methodenentwurf zur Nutzung usergenerierter Videos in der Wissenskommunikation,Back Andrea; Toedtli Maria Camilla,Jahrestagung der Gesellschaft für Medien in der Wissenschaft (GMW),10 September 2012
Determination of Enterprise 2.0 Development Levels with a Maturity Model,Friedel Dominik; Back Andrea,IADIS Multi Conference on Computer Science and Information Systems (MCCSIS 2012),17 July 2012
Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz,Sammer Thomas; Lazur Christian; Walter Thomas; Back Andrea,7. Konferenze Mobile und Ubiquitäre Informationssysteme (MMS),1 March 2012
Einsatzmöglichkeiten von Virtual Private Workspace,Schoenenberg Robin; Back Andrea,Multikonferenz der Wirtschaftsinformatik (MKWI) 2012,21 February 2012
Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum,Friedel Dominik; Back Andrea; Wieland Ralf,13. KnowTech 2011,28 September 2011
Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest,Walter Thomas; Back Andrea,6th Mediterranean Conference on Information Systems (MCIS 2011),4 September 2011
Integrating the Smartphone : Applying the U-Constructs Approach on the Case of Mobile University Services,Sammer Thomas; Camichel Fabio Armon; Back Andrea,6th Mediterranean Conference on Information Systems (MCIS 2011),3 September 2011
Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH,Sammer Thomas; Lin Dada; Back Andrea; Schoenefeld Frank,6. Konferenz Professionelles Wissensmanagement,22 February 2011
Reifegradmodelle im Management von Enterprise 2.0,Back Andrea,12. KnowTech 2010,15 September 2010
Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis,Back Andrea,GML2 2010,11 March 2010
Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds,Walter Thomas; Back Andrea,23rd Bled eConference "eTrust: Implications for the Individual Enterprises and Society",23 June 2010
Towards Microblogging Success Factors : An Empirical Survey on Twitter Usage of Austrian Universities,Sammer Thomas; Back Andrea,6th Mediterranean Conference on Information Systems (MCIS 2011),3 September 2011
Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry,Back Andrea; Haager Christopher,24th Bled eConference "eFuture Creating Solutions for the Individual Organisations and Society",12 June 2011
Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews,Seidel Gunter; Back Andrea,19th European Conference on Information Systems (ECIS) 2011,9 June 2011
Website Usability for Internet Banking,Zollet Roman; Back Andrea,23rd Bled eConference "eTrust: Implications for the Individual Enterprises and Society",20 June 2010
Web-Analyse-Dienste als Instrument des Blog-Monitoring,Walter Thomas; Back Andrea,Multikonferenz Wirtschaftsinformatik (MKWI) 2010,23 February 2010
Success Factor Validation for Global ERP Programmes,Seidel Gunter; Back Andrea,17th European Conference on Information Systems (ECIS) 2009,8 June 2009
Knowledge Management in Challenging Settings - A Case of Military Aircraft,Mayrhofer David; Heilmeier Peter; Nirankari Ravi; Back Andrea,5th International Conference on Knowledge Management and Knowledge Technologies (I-KNOW),29 June 2005
Learning Journal - Weblogs in Academic Courses,Hain Stefanie; Back Andrea,3rd International Conference on e-Learning,26 June 2008
Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools,Mayrhofer David; Back Andrea; Hubschmid Roger; Heidecke Florian,16th Information Resources Management Association Conference (IRMA),17 May 2005
Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser,Back Andrea,Fachtagung Web-Based Training 2005,28 April 2005
Classification of IS Functionalities for Workplace E-Collaboration,Mayrhofer David; Back Andrea,14th Information Resource Management Association International Conference (IRMA),21 May 2004
Towards a Framework for Knowledge Networks for Growth - Results of an Action Research Study,Enkel Ellen; Back Andrea; Vonkrogh Georg,Academy of Management Annual Meeting (AOM) 2003,1 August 2003
Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.,Mayrhofer David; Back Andrea,14th Information Resource Management Association International Conference (IRMA03),19 May 2003
Chief-Learning-Officer-Projektagenda 200x,Back Andrea,32. Jahrestagung der Gesellschaft für Informatik e.V. (GI),30 September 2002
Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen,Back Andrea,32. Jahrestagung der Gesellschaft für Informatik e.v. (GI),30 September 2002
Open Grid - Open Mind,Bieger Thomas; Achleitner Paul; Landolf Urs; Serratore Luca; Breitenstein Yannik; Dilger Bernadette; Angélil Marc; Fujimoto Sou; Böhm Andreas; Meckel Miriam; Borth Damian; Gasser Urs; Lohmann Melinda Florina; Bruch Heike; Berenbold Sandra; Gassmann Oliver; Josef Barbara; Back Andrea; Uebernickel Falk; Kohler Marc; Hehn Jennifer; Leimeister Jan Marco; Söllner Matthias; Brenner Walter; Gutzwiller Thomas; Frank Markus; Schürer Wolfgang; Kissinger Henry,null,2018
Mobile Business : Management von mobiler IT in Unternehmen,Sammer Thomas; Back Andrea; Walter Thomas,null,2014
Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen Anwendungen und Methoden mit zahlreichen Fallstudien,null,null,2012
Web 2.0 in der Unternehmenspraxis : Grundlagen Fallstudien und Trends zum Einsatz von Social Software (2. aktualisierte Auflage),null,null,2009
Web 2.0 in der Unternehmenspraxis: Grundlagen Fallstudien und Trends zum Einsatz von Social Software,null,null,2008
E-Learning: Ein Wörterbuch,Back Andrea; Bendel Oliver; Stoller-Schai Daniel,null,2002
Knowledge Networks for Business Growth,null,null,2006
Putting knowledge networks into action : a methodology for developing and maintaining Knowledge Networks,null,null,2005
Business Engineering - Die ersten 15 Jahre,null,null,2004
Getting real about knowledge networks : unlocking corporate knowledge assets,null,null,2006
Putting Knowledge Networks into Action: Methodology Development Maintenance,null,null,2005
E-Learning im Unternehmen: Grundlagen - Strategien - Methoden - Technologien,Back Andrea; Bendel Oliver; Stoller-Schai Daniel,null,2001
E-Learning: Weiterbildung im Internet,Seufert Sabine; Back Andrea; Häusler Martin,null,2001
Lexikon der Wirtschaftsinformatik,null,null,2001
Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation,Ruf Christian; Back Andrea; Burkhardt Marc,Multikonferenz Wirtschaftsinformatik (MKWI) 2016,March 2016
Enterprise 2.0 - Digitale Transformation durch soziale Technologien,Back Andrea,null,2016
Collaboration Between Corporations and Startups: The Startup-Collaboration-Model,Peter Lukas; Back Andrea; Werro Tina,null,2019
Employee acceptance and use of unified communications and collaboration in a cross-cultural environment,Silic Mario; Back Andrea; Sammer Thomas,null,2017
Mobile Business,Back Andrea; Ruf Christian,null,2016
Bloggen und Microblogging in Lehrveranstaltungen : Variationen aus sieben Jahren eigener Lehrpraxis,Back Andrea,null,2013
Inter- trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik,Back Andrea,null,2014
Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls,Back Andrea; Lauber Jürgen; Sütterlin Sarah,null,2014
Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell,Friedel Dominik; Back Andrea,null,2012
Social Software Use-Cases in verschiedenen Geschäftsfunktionen bei Swiss Re,Back Andrea; Isenschmid Christoph; Jastrowski Wolfgang,null,2012
Wissens-Wiki im IT-Betrieb und Notfall-Management bei der SFS services AG,Cervellieri Adrian; Buchli Reto; Back Andrea,null,2012
Crowdsourcing-Plattformen,Walter Thomas,null,2012
Das St. Galler Enterprise-2.0-Methodenset - Ein Ansatz zum organisatorischen Wandel,Friedel Dominik; Back Andrea,null,2012
Das mobile Web 2.0 im Unternehmen,Sammer Thomas; Walter Thomas,null,2012
Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace,Back Andrea; Fuellemann Peter; Jastrowski Wolfgang,null,2012
A Reference Model for E-Collaboration within the Dispersed Sales Force Training Process in Multinational Companies,Heidecke Florian; Back Andrea,null,2009
Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese,Back Andrea,null,2009
Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen Produkte und Wissen mitgestalten,Back Andrea,null,2009
E-Learning im Unternehmen,Back Andrea,null,2008
Newsfeeds und Newsaggregatoren,Heidecke Florian,null,2008
Podcasting,Haentschel-erhart Irene,null,2008
Produktivität von Wissensarbeitern,Back Andrea; Heidecke Florian,null,2008
Unternehmensinternes Multiblog der Namics AG,Hain Stefanie; Schopp Bernd,null,2008
Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen,Back Andrea; Keller Miriam,null,2007
Supporting Growth through Innovation Networks in Unilever,Rumyantseva Maria; Enkel Ellen; Pos A.,null,2007
E-Learning strategisch verankern,Back Andrea,null,2007
Integrated Performance Measurement System for Knowledge Networks for Growth,Enkel Ellen; Rumyantseva Maria; Gurgul Grzegorz,null,2007
The Concept of Knowledge Networks for Growth,Enkel Ellen; Back Andrea; Vonkrogh Georg,null,2007
Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung,Heidecke Florian; Mayrhofer David; Schiesser Andreas; Back Andrea,null,2007
Outlook: Beyond organizational boundaries - Knowledge Networks for Growth,Enkel Ellen,null,2006
A methodology for adapting Knowledge Networks - managerial guidelines,Enkel Ellen; Gurgul Grzegorz; Rumyantseva Maria,null,2007
Balanced Learning Scorecard: Den Wert von (E-)Learning-Innovationen für Geschäftsziele kommunizieren,Back Andrea,null,2005
Developmental aspects and supportive factors in Knowledge Networks,Köhne M.; Enkel Ellen; Ulrich C.,null,2006
Supporting integration after M&A throuth Knowledge Networks within RWE Net,Gurgul Grzegorz; Enkel Ellen; Schulte Kordula; Kruse Carl-Heinrich,null,2007
The customer - an untapped source of innovations. Developing a Customer Integration Network in HP,Gurgul Grzegorz; Enkel Ellen; Rumyantseva Maria; Ulrich Claudia,null,2007
Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen,Back Andrea; Leithner Barbara,null,2005
Die wissenschaftliche Sicht: Der rechte Umgang mit Stakeholdern,Back Andrea,null,2005
Elektronische Märkte,Schmid Beat,null,2004
