web-scraper-order;web-scraper-start-url;linkto;linkto-href;Autor;Title;;;;;;;;;;;;;;;;;;;
1647211327-5645;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Entscheidungsunterstützungssysteme.;https://www.alexandria.unisg.ch/213558/;Back, Andrea;Entscheidungsunterstützungssysteme;;;;;;;;;;;;;;;;;;;
1647211272-5611;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/213942/;;Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen;;;;;;;;;;;;;;;;;;;
1647211150-5507;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Hürden gibt es nur im Kopf - Schweizer Unternehmen mit Vorsprung auf dem Weg zur Enterprise 2.0.;https://www.alexandria.unisg.ch/216772/;;Hürden gibt es nur im Kopf - Schweizer Unternehmen mit Vorsprung auf dem Weg zur Enterprise 2.0;;;;;;;;;;;;;;;;;;;
1647211075-5446;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch.;https://www.alexandria.unisg.ch/67613/;;Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch;;;;;;;;;;;;;;;;;;;
1647211241-5585;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.;https://www.alexandria.unisg.ch/67626/;;Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich;;;;;;;;;;;;;;;;;;;
1647211394-5688;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell.;https://www.alexandria.unisg.ch/216599/;Friedel, Dominik & Back, Andrea;Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell;;;;;;;;;;;;;;;;;;;
1647211237-5581;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Fostering New Ventures: Organisational conditions for New Ventures in Unilever.;https://www.alexandria.unisg.ch/293/;;Fostering New Ventures: Organisational conditions for New Ventures in Unilever;;;;;;;;;;;;;;;;;;;
1647211349-5660;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;The customer - an untapped source of innovations. Developing a Customer Integration Network in HP.;https://www.alexandria.unisg.ch/257/;;The customer - an untapped source of innovations. Developing a Customer Integration Network in HP;;;;;;;;;;;;;;;;;;;
1647211235-5579;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Perspective for our partners: Boundaries of the firm.;https://www.alexandria.unisg.ch/295/;Enkel, Ellen;;;;;;;;;;;;;;;;;;;;
1647211201-5548;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category.;https://www.alexandria.unisg.ch/196967/;Back, Andrea & von Krogh, G.;Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category;;;;;;;;;;;;;;;;;;;
1647211247-5591;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Network - Survey Findings (internal Paper).;https://www.alexandria.unisg.ch/213935/;;Knowledge Network - Survey Findings (internal Paper);;;;;;;;;;;;;;;;;;;
1647211558-5792;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Prozesskostenrechnung.;https://www.alexandria.unisg.ch/66706/;;Prozesskostenrechnung;;;;;;;;;;;;;;;;;;;
1647211562-5797;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Aspekte zur Implementierung und Nutzung einer Prozesskostenrechnung. Rubrik Meinungsspiegel.;https://www.alexandria.unisg.ch/213946/;;Aspekte zur Implementierung und Nutzung einer Prozesskostenrechnung. Rubrik Meinungsspiegel;;;;;;;;;;;;;;;;;;;
1647211384-5683;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Software Use-Cases in verschiedenen Geschäftsfunktionen bei Swiss Re.;https://www.alexandria.unisg.ch/216604/;Back, Andrea;;;;;;;;;;;;;;;;;;;;
1647211178-5533;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Digital-Entrepreneurship-Werkstatt:;;;;;;;;;;;;;;;;;;;;;;
"Ein Start-up Baukasten für das Klassenzimmer.""";https://www.alexandria.unisg.ch/260243/;Grüttner, Arne & Back, Andrea;;;;;;;;;;;;;;;;;;;;;;
"Ein Start-up Baukasten für das Klassenzimmer""";;;;;;;;;;;;;;;;;;;;;;;;
1647211278-5615;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Newsaggregatoren-Software - ein Marktüberblick.;https://www.alexandria.unisg.ch/213814/;Heidecke, Florian & Back, Andrea;Newsaggregatoren-Software - ein Marktüberblick;;;;;;;;;;;;;;;;;;;
1647211160-5516;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media: What is Social Media and how will Social Media change our future working environment.;https://www.alexandria.unisg.ch/216812/;;Social Media: What is Social Media and how will Social Media change our future working environment;;;;;;;;;;;;;;;;;;;
1647211092-5459;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Differences in ERP Implementations in India & Western Europe.;https://www.alexandria.unisg.ch/214231/;Talwar, Manish & Back, Andrea;Differences in ERP Implementations in India & Western Europe;;;;;;;;;;;;;;;;;;;
1647210961-5335;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Interview zu E-Learning im Unternehmen im Learntec-Studio.;https://www.alexandria.unisg.ch/66810/;Back, Andrea;Interview zu E-Learning im Unternehmen im Learntec-Studio;;;;;;;;;;;;;;;;;;;
1647211531-5773;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Stages in Digital Business Transformation: Results of an Empirical Maturity Study.;https://www.alexandria.unisg.ch/249286/;Berghaus, Sabine & Back, Andrea;Stages in Digital Business Transformation: Results of an Empirical Maturity Study;;;;;;;;;;;;;;;;;;;
1647211128-5489;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0.;https://www.alexandria.unisg.ch/102534/;Back, Andrea;Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0;;;;;;;;;;;;;;;;;;;
1647211515-5764;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders.;https://www.alexandria.unisg.ch/232052/;Berghaus, Sabine & Back, Andrea;Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders;;;;;;;;;;;;;;;;;;;
1647210992-5364;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Vom Wissensmanagement zum Wissensnetzwerk.;https://www.alexandria.unisg.ch/213534/;;Vom Wissensmanagement zum Wissensnetzwerk;;;;;;;;;;;;;;;;;;;
1647211459-5725;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Success Factor Validation for Global ERP Programmes.;https://www.alexandria.unisg.ch/213715/;Seidel, Gunter & Back, Andrea;Success Factor Validation for Global ERP Programmes;;;;;;;;;;;;;;;;;;;
1647211176-5531;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;„Die Kinder üben eine Denkhaltung“.;https://www.alexandria.unisg.ch/260035/;Back, Andrea & Grüttner, Arne;„Die Kinder üben eine Denkhaltung“;;;;;;;;;;;;;;;;;;;
1647211529-5772;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping.;https://www.alexandria.unisg.ch/241640/;Ruf, Christian;;;;;;;;;;;;;;;;;;;;
1647211229-5575;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Training for Knowledge Networks: Documentation.;https://www.alexandria.unisg.ch/214311/;Vassiliadis, Stefanos;;;;;;;;;;;;;;;;;;;;
1647210945-5320;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eLearning als Herausforderung für die Personal- und Organisationsentwicklung.;https://www.alexandria.unisg.ch/214097/;;eLearning als Herausforderung für die Personal- und Organisationsentwicklung;;;;;;;;;;;;;;;;;;;
1647211100-5467;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.;https://www.alexandria.unisg.ch/213221/;;Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur;;;;;;;;;;;;;;;;;;;
1647211203-5550;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;A Vision for Knowledge Networking.;https://www.alexandria.unisg.ch/197043/;Seufert, Andreas;;;;;;;;;;;;;;;;;;;;
1647211375-5678;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.;https://www.alexandria.unisg.ch/67823/;;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten;;;;;;;;;;;;;;;;;;;
1647211351-5662;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Supporting integration after M&A throuth Knowledge Networks within RWE Net.;https://www.alexandria.unisg.ch/259/;;Supporting integration after M&A throuth Knowledge Networks within RWE Net;;;;;;;;;;;;;;;;;;;
1647211455-5723;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Management in Challenging Settings - A Case of Military Aircraft.;https://www.alexandria.unisg.ch/213119/;;Knowledge Management in Challenging Settings - A Case of Military Aircraft;;;;;;;;;;;;;;;;;;;
1647211140-5497;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media in Universities.;https://www.alexandria.unisg.ch/146667/;Back, Andrea;Social Media in Universities;;;;;;;;;;;;;;;;;;;
1647211104-5470;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Mit Medienkompetenz zum Studierendenerlebnis.;https://www.alexandria.unisg.ch/213933/;Back, Andrea;Mit Medienkompetenz zum Studierendenerlebnis;;;;;;;;;;;;;;;;;;;
1647211463-5729;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/68008/;;Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis;;;;;;;;;;;;;;;;;;;
1647211188-5541;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Atos: Towards Zero Email Company.;https://www.alexandria.unisg.ch/242234/;Silic, Mario & Back, Andrea;Atos: Towards Zero Email Company;;;;;;;;;;;;;;;;;;;
1647211537-5776;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Effects of Color Appeal, Perceived Risk and Culture on User’s Decision in Presence of Warning Banner Message.;https://www.alexandria.unisg.ch/250229/;Silic, Mario;;;;;;;;;;;;;;;;;;;;
1647211094-5462;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation.;https://www.alexandria.unisg.ch/214088/;;Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation;;;;;;;;;;;;;;;;;;;
1647210943-5318;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Corporate E-Learning: Strategic Issues.;https://www.alexandria.unisg.ch/213138/;;Corporate E-Learning: Strategic Issues;;;;;;;;;;;;;;;;;;;
1647211142-5500;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/214345/;;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry;;;;;;;;;;;;;;;;;;;
1647210925-5299;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Management und Knowledge Portale: Konzepte und Trends.;https://www.alexandria.unisg.ch/213116/;Back, Andrea;Knowledge Management und Knowledge Portale: Konzepte und Trends;;;;;;;;;;;;;;;;;;;
1647210941-5316;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum.;https://www.alexandria.unisg.ch/66903/;;Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum;;;;;;;;;;;;;;;;;;;
1647211262-5602;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü.;https://www.alexandria.unisg.ch/213461/;;Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü;;;;;;;;;;;;;;;;;;;
1647211084-5453;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?"".";https://www.alexandria.unisg.ch/213661/;;"Web-based Open Innovation - ""What‘s Your Strategy for Creating Knowledge, Products, and Services with Online Communities?""";;;;;;;;;;;;;;;;;;;
1647211245-5588;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen.;https://www.alexandria.unisg.ch/213511/;Back, Andrea & Bursian, Olaf;Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen;;;;;;;;;;;;;;;;;;;
1647211319-5641;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Critical Success Factors (CSF).;https://www.alexandria.unisg.ch/213910/;Back, Andrea;Critical Success Factors (CSF);;;;;;;;;;;;;;;;;;;
1647211158-5514;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Teamarbeit 2.0: Global - zeitgemäss - kompetent.;https://www.alexandria.unisg.ch/216811/;;Teamarbeit 2.0: Global - zeitgemäss - kompetent;;;;;;;;;;;;;;;;;;;
1647211027-5398;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Einführung.;https://www.alexandria.unisg.ch/213501/;;Einführung;;;;;;;;;;;;;;;;;;;
1647211262-5601;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü.;https://www.alexandria.unisg.ch/213461/;Bendel, Oliver;;;;;;;;;;;;;;;;;;;;
1647211398-5690;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls.;https://www.alexandria.unisg.ch/236229/;Back, Andrea;;;;;;;;;;;;;;;;;;;;
1647211449-5718;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Classification of IS Functionalities for Workplace E-Collaboration.;https://www.alexandria.unisg.ch/65971/;Mayrhofer, David & Back, Andrea;Classification of IS Functionalities for Workplace E-Collaboration;;;;;;;;;;;;;;;;;;;
1647211373-5676;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/67460/;Back, Andrea;E-Learning im Unternehmen;;;;;;;;;;;;;;;;;;;
1647211170-5525;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lean & agil: Social-Software.;https://www.alexandria.unisg.ch/231833/;;Lean & agil: Social-Software;;;;;;;;;;;;;;;;;;;
1647211485-5743;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Einsatzmöglichkeiten von Virtual Private Workspace.;https://www.alexandria.unisg.ch/216768/;Schoenenberg, Robin & Back, Andrea;Einsatzmöglichkeiten von Virtual Private Workspace;;;;;;;;;;;;;;;;;;;
1647211174-5529;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Die Welt wird digital.;https://www.alexandria.unisg.ch/248986/;;Die Welt wird digital;;;;;;;;;;;;;;;;;;;
1647211566-5802;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".";https://www.alexandria.unisg.ch/213741/;;"Interview mit Mark C. Turrell: ""Groupware should be widely deployed""";;;;;;;;;;;;;;;;;;;
1647210955-5329;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;e-Welt: Wissensmanagement.;https://www.alexandria.unisg.ch/66851/;Back, Andrea;e-Welt: Wissensmanagement;;;;;;;;;;;;;;;;;;;
1647211465-5730;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Website Usability for Internet Banking.;https://www.alexandria.unisg.ch/214619/;Zollet, Roman & Back, Andrea;Website Usability for Internet Banking;;;;;;;;;;;;;;;;;;;
1647211312-5638;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Massenspeicher, magnetischer.;https://www.alexandria.unisg.ch/196940/;;Massenspeicher, magnetischer;;;;;;;;;;;;;;;;;;;
1647211432-5710;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage).;https://www.alexandria.unisg.ch/58167/;;Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software (2., aktualisierte Auflage);;;;;;;;;;;;;;;;;;;
1647211166-5521;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";https://www.alexandria.unisg.ch/196668/;;"Habilitation: ""Beiträge der Daten-, Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings"".";;;;;;;;;;;;;;;;;;;
1647210909-5283;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Management Support Systeme im Informationszeitalter.;https://www.alexandria.unisg.ch/214123/;Back, Andrea;Management Support Systeme im Informationszeitalter;;;;;;;;;;;;;;;;;;;
1647211375-5677;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten.;https://www.alexandria.unisg.ch/67823/;Back, Andrea;Web-based Open Innovation - Wie Online-Gemeinschaften Dienstleistungen, Produkte und Wissen mitgestalten;;;;;;;;;;;;;;;;;;;
1647211170-5524;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lean & agil: Social-Software.;https://www.alexandria.unisg.ch/231833/;Back, Andrea;Lean & agil: Social-Software;;;;;;;;;;;;;;;;;;;
1647211317-5640;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning.;https://www.alexandria.unisg.ch/213287/;Bendel, Oliver & Stoller-Schai, Daniel;E-Learning;;;;;;;;;;;;;;;;;;;
1647211333-5648;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Vom Kursprojekt zum Reengineering der Bildungsprozesse.;https://www.alexandria.unisg.ch/213737/;Back, Andrea;Vom Kursprojekt zum Reengineering der Bildungsprozesse;;;;;;;;;;;;;;;;;;;
1647211473-5736;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews.;https://www.alexandria.unisg.ch/214386/;Seidel, Gunter & Back, Andrea;Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews;;;;;;;;;;;;;;;;;;;
1647211487-5744;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.;https://www.alexandria.unisg.ch/211868/;Sammer, Thomas;;;;;;;;;;;;;;;;;;;;
1647211420-5704;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Business Engineering - Die ersten 15 Jahre.;https://www.alexandria.unisg.ch/213582/;;Business Engineering - Die ersten 15 Jahre;;;;;;;;;;;;;;;;;;;
1647211184-5539;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen.;https://www.alexandria.unisg.ch/232126/;Sammer, Thomas;;;;;;;;;;;;;;;;;;;;
1647211020-5391;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Paving the Way to Corporate e-Learning Adoption and Sustainability.;https://www.alexandria.unisg.ch/66878/;Back, Andrea;Paving the Way to Corporate e-Learning Adoption and Sustainability;;;;;;;;;;;;;;;;;;;
1647211339-5652;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/213161/;;Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen;;;;;;;;;;;;;;;;;;;
1647211541-5779;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Exploring Innovation Practices for B2E Initiatives in the Digital Age.;https://www.alexandria.unisg.ch/254096/;Guggisberg, Vanessa & Back, Andrea;Exploring Innovation Practices for B2E Initiatives in the Digital Age;;;;;;;;;;;;;;;;;;;
1647211543-5780;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Coworking as a New Innovation Scenario from the Perspective of Mature Organisations.;https://www.alexandria.unisg.ch/254939/;Josef, Barbara & Back, Andrea;Coworking as a New Innovation Scenario from the Perspective of Mature Organisations;;;;;;;;;;;;;;;;;;;
1647211371-5675;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Newsfeeds und Newsaggregatoren.;https://www.alexandria.unisg.ch/67445/;Heidecke, Florian;Newsfeeds und Newsaggregatoren;;;;;;;;;;;;;;;;;;;
1647211434-5711;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien.;https://www.alexandria.unisg.ch/216026/;;Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien;;;;;;;;;;;;;;;;;;;
1647211566-5803;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".";https://www.alexandria.unisg.ch/213741/;;"Interview mit Mark C. Turrell: ""Groupware should be widely deployed""";;;;;;;;;;;;;;;;;;;
1647211227-5574;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.;https://www.alexandria.unisg.ch/66697/;;MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks;;;;;;;;;;;;;;;;;;;
1647210904-5279;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management.";https://www.alexandria.unisg.ch/66853/;Back, Andrea;"Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management";;;;;;;;;;;;;;;;;;;
1647211142-5499;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/214345/;Back, Andrea & Haager, Christoph;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry;;;;;;;;;;;;;;;;;;;
1647211475-5737;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/232358/;Back, Andrea & Haager, Christopher;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry;;;;;;;;;;;;;;;;;;;
1647211061-5432;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung.;https://www.alexandria.unisg.ch/197081/;;Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung;;;;;;;;;;;;;;;;;;;
1647211292-5624;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Agile Innovation for Next Generation Mobile Business.;https://www.alexandria.unisg.ch/255092/;Guggisberg, Vanessa & Back, Andrea;Agile Innovation for Next Generation Mobile Business;;;;;;;;;;;;;;;;;;;
1647210886-5262;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen.;https://www.alexandria.unisg.ch/213791/;Back, Andrea;Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen;;;;;;;;;;;;;;;;;;;
1647211525-5769;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.;https://www.alexandria.unisg.ch/241639/;Ruf, Christian & Back, Andrea;How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering;;;;;;;;;;;;;;;;;;;
1647211018-5390;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell.;https://www.alexandria.unisg.ch/66845/;;E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell;;;;;;;;;;;;;;;;;;;
1647211223-5570;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Competing with Intellectual Capital: Theoretical Background.;https://www.alexandria.unisg.ch/196948/;;Competing with Intellectual Capital: Theoretical Background;;;;;;;;;;;;;;;;;;;
1647211049-5419;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Trends im E-Learning - Chancen, die es zu nutzen gilt.;https://www.alexandria.unisg.ch/213753/;Back, Andrea;Trends im E-Learning - Chancen, die es zu nutzen gilt;;;;;;;;;;;;;;;;;;;
1647211268-5607;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Web-Conferencing Software Tools: A Comprehensive Market Survey.;https://www.alexandria.unisg.ch/214335/;;Web-Conferencing Software Tools: A Comprehensive Market Survey;;;;;;;;;;;;;;;;;;;
1647211260-5599;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Workplace E-Collaboration: Theoretical Foundations and Practical Implications.;https://www.alexandria.unisg.ch/213166/;Mayrhofer, David & Back, Andrea;Workplace E-Collaboration: Theoretical Foundations and Practical Implications;;;;;;;;;;;;;;;;;;;
